symbol,Trades,NetProfit,PctWins,ProfitFactor,AvgRetPct,MedianRetPct
AAPL,9,859.72,77.78,3.08,3.235,3.149
AMZN,13,3026.46,38.46,4.12,9.302,-2.402
AVGO,12,6274.15,50.0,5.17,13.385,2.039
GOOGL,11,864.53,63.64,1.89,3.346,1.517
JPM,14,2137.43,57.14,2.58,4.648,0.315
META,14,3597.64,42.86,3.39,11.563,-1.048
MSFT,13,2351.89,61.54,3.69,5.595,1.545
NVDA,12,6544.17,58.33,5.09,24.212,5.309
SPY,11,18.82,54.55,1.04,0.235,0.734
TSLA,8,3159.55,37.5,3.09,19.03,-3.442
V,15,413.49,33.33,1.35,-0.481,-2.148
WMT,14,524.62,57.14,1.7,1.112,0.446
