symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
AVGO,2020-01-24,2020-02-21,33.07,30.34,45,-123.30000000000003,-8.255216208043548
V,2020-01-09,2020-02-24,193.02,197.86999999999998,7,33.87999999999976,2.5126929851828628
WMT,2020-03-09,2020-03-12,40.0,34.769999999999996,37,-193.88000000000017,-13.075000000000014
WMT,2020-03-18,2020-06-05,40.25,40.32,36,2.1600000000000104,0.17391304347826875
JPM,2020-06-05,2020-06-24,114.95,95.85000000000001,15,-286.64999999999986,-16.615919965202252
META,2020-04-22,2020-06-26,181.25,222.85999999999999,8,332.7999999999999,22.957241379310346
GOOGL,2020-04-27,2020-06-26,64.61999999999999,69.27000000000001,24,111.36000000000048,7.195914577530216
TSLA,2020-04-13,2020-08-11,40.52,91.08,35,1769.25,124.77788746298124
AMZN,2020-04-06,2020-09-11,99.67,155.54,14,782.0399999999998,56.05498143874785
GOOGL,2020-07-02,2020-09-11,73.81,74.93,24,26.64000000000011,1.5174095650995811
META,2020-07-07,2020-09-17,245.21,258.66,7,94.08000000000013,5.485094408874036
NVDA,2020-04-07,2020-10-28,6.949999999999999,13.02,211,1278.66,87.3381294964029
AVGO,2020-08-11,2020-10-28,33.18,35.379999999999995,62,135.77999999999975,6.630500301386366
SPY,2020-10-08,2020-10-28,343.08,331.17,6,-71.51999999999981,-3.4714935292060045
MSFT,2020-10-09,2020-10-28,214.01000000000002,204.79999999999998,10,-92.20000000000036,-4.303537217887032
WMT,2020-07-07,2020-10-29,40.970000000000006,46.61,47,264.6099999999997,13.766170368562335
AMZN,2020-10-09,2020-10-30,161.69,154.48,13,-93.8600000000001,-4.459150225740616
NVDA,2020-11-06,2020-12-10,14.37,12.85,147,-224.90999999999994,-10.577592205984686
GOOGL,2020-10-30,2020-12-21,83.39,85.44,25,50.99999999999993,2.4583283367310305
META,2020-11-04,2021-01-06,285.26,262.48,7,-159.5299999999998,-7.985697258641233
V,2020-12-30,2021-01-14,216.02,204.76999999999998,9,-101.34000000000026,-5.207851124895857
AAPL,2020-12-15,2021-02-18,125.97,128.53,16,40.80000000000004,2.0322298960069984
AMZN,2020-12-28,2021-02-22,163.20000000000002,159.28,12,-47.16000000000019,-2.401960784313739
MSFT,2020-11-09,2021-02-25,225.23000000000002,228.70999999999998,9,31.229999999999652,1.5450872441504115
SPY,2020-11-09,2021-03-04,363.99,378.21000000000004,5,71.05000000000014,3.90670073353665
